feature,role,dtype,action,reason
CustomerID,identifier,int64,drop,仅用于追踪
Churn,target,int64,separate,希望预测的答案
Tenure,numeric_feature,float64,numeric_pipeline,数值处理
PreferredLoginDevice,categorical_feature,object,one_hot,文字类别需转0/1列
CityTier,numeric_feature,int64,numeric_pipeline,数值处理
WarehouseToHome,numeric_feature,float64,numeric_pipeline,数值处理
PreferredPaymentMode,categorical_feature,object,one_hot,文字类别需转0/1列
Gender,categorical_feature,object,one_hot,文字类别需转0/1列
HourSpendOnApp,numeric_feature,float64,numeric_pipeline,数值处理
NumberOfDeviceRegistered,numeric_feature,int64,numeric_pipeline,数值处理
PreferedOrderCat,categorical_feature,object,one_hot,文字类别需转0/1列
SatisfactionScore,numeric_feature,int64,numeric_pipeline,数值处理
MaritalStatus,categorical_feature,object,one_hot,文字类别需转0/1列
NumberOfAddress,numeric_feature,int64,numeric_pipeline,数值处理
Complain,numeric_feature,int64,numeric_pipeline,数值处理
OrderAmountHikeFromlastYear,numeric_feature,float64,numeric_pipeline,数值处理
CouponUsed,numeric_feature,float64,numeric_pipeline,数值处理
OrderCount,numeric_feature,float64,numeric_pipeline,数值处理
DaySinceLastOrder,numeric_feature,float64,numeric_pipeline,数值处理
CashbackAmount,numeric_feature,float64,numeric_pipeline,数值处理
TenureGroup,derived_feature,object,candidate,由已有字段转换
IsMobileLogin,derived_feature,int64,candidate,由已有字段转换
